gene_id,ERR1338025,ERR1338026,ERR1338027,ERR1338028,ERR1338029,ERR1338030,ERR1338031,ERR1338032
ENSG00000178585.15|CTNNBIP1,1623,1925,2175,671,3452,3264,3798,4629
ENSG00000285701.1|ENSG00000285701,0,3,7,4,4,4,4,0
ENSG00000283611.2|TMEM274P,0,0,0,0,0,0,0,0
ENSG00000265521.1|MIR5697,0,0,0,1,1,0,0,0
ENSG00000241326.1|ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000130939.20|UBE4B,4567,5122,5953,1690,7149,5923,5401,5481
ENSG00000233623.2|PGAM1P11,0,0,0,0,6,4,0,0
ENSG00000171612.7|SLC25A33,595,604,583,175,716,631,776,908
ENSG00000231181.1|ENSG00000231181,11,3,11,2,18,8,8,11
ENSG00000188807.13|TMEM201,1766,2158,2523,727,2520,2379,2525,2839
ENSG00000231789.4|PIK3CD-AS2,20,26,23,0,147,190,114,128
ENSG00000171603.18|CLSTN1,7933,8951,9097,2839,24670,23376,24669,26525
ENSG00000223989.1|ENSG00000223989,35,29,35,11,0,1,0,0
ENSG00000162441.12|LZIC,1533,1544,1509,502,3946,3577,4892,5388
ENSG00000228150.1|ENSG00000228150,11,7,15,3,7,13,14,28
ENSG00000173614.14|NMNAT1,453,560,569,195,524,568,576,554
ENSG00000202415.1|RN7SKP269,5,5,2,5,4,2,11,9
ENSG00000162444.12|RBP7,5,0,0,0,10,15,19,6
ENSG00000224340.1|RPL21P21,2,0,0,0,1,0,0,1
ENSG00000201746.1|RNU6-828P,3,4,3,1,9,7,8,10
ENSG00000271989.1|ENSG00000271989,0,0,0,1,0,2,0,1
ENSG00000251503.8|CENPS-CORT,299,367,373,104,357,281,327,338
ENSG00000054523.20|KIF1B,42688,43469,48140,14955,45525,34441,48895,51925
ENSG00000264881.1|ENSG00000264881,2,2,0,0,1,0,0,1
ENSG00000199562.1|RNU6-37P,4,4,3,0,3,0,6,1
ENSG00000264501.2|RN7SL731P,1,1,1,1,1,1,1,1
ENSG00000284735.1|ENSG00000284735,96,99,166,34,233,184,240,299
ENSG00000284642.1|ENSG00000284642,294,228,391,96,180,183,200,250
ENSG00000142657.21|PGD,10867,12368,12693,4111,10196,10245,11948,13013
ENSG00000175279.22|CENPS,219,220,261,55,228,193,170,192
ENSG00000241563.4|CORT,65,52,65,14,48,35,59,90
ENSG00000160049.12|DFFA,2082,2343,2370,685,5461,5290,5397,6083
ENSG00000203469.2|ENSG00000203469,10,38,14,6,0,0,0,0
